Run,Assay Type,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Platform,ReleaseDate,SRA Study,BioSample,Organism,Sample Name,DATASTORE filetype,DATASTORE provider,DATASTORE region,BioProject,Bytes,create_date,version,AvgSpotLen,Bases,Library Name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Strain,BioSampleModel,geo_loc_name,Host,Isolation_Source,Lat_Lon,collected_by,Host_disease,Isolate,Sample_Name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,Submitter_Id,ENA_first_public,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Type,ArrayExpress-SPECIES,MLST,common_name,AssemblyName,Subject_ID,COUNTRY,geographic_location_(country_and/or_sea),Genotype,TREATMENT,isolate_name_alias,sra_title (run),host_scientific_name,host_health_state,Time,specific_host,source_name,Drug_concentration_ug/ml,Bank,Generations,GEO_Accession (exp),TEST,REPLICATE,MLST#,supplier_name,host_status,Sample_Description,ref_biomaterial,isol_growth_condt,num_replicons,project_name,env_broad_scale,env_local_scale,env_medium,anonymized_name,host_sex,ArrayExpress-STRAIN_OR_LINE,Serovar,BIOMATERIAL_PROVIDER,geographic_location_(region_and_locality),MLST#_Scheme,isolation-source,Host_age,gssr_id (exp),gssr_id (run),instrument_name (run),lsid (exp),lsid (run),material_type (exp),molecular_indexing_scheme (run),project (exp),project (run),run_barcode (run),run_name (run),work_request (exp),work_request (run),flowcell_barcode (run),lane (run),read_group_id (run),read_group_platform_unit (run),media,analysis_type (exp),analysis_type (run),library_type (exp),library_type (run),bio_material,host_associated,Broker_name,CULTURE_COLLECTION,host_description,antibiotic,TimePoint,platform_model,nat-host,host_tissue_sampled,Concentration,geographic_location_(country_and/or_sea,_region),isolation_type,passage_history,product_order (exp),product_order (run),product_part_number (exp),product_part_number (run),research_project (exp),research_project (run),ArrayExpress-Sex,gender,type-material,Temp,alternate_id,Sample_id,root_sample_id (exp),root_sample_id (run),sample_id (exp),sample_id (run),exposure,Library,Specimen_voucher
SRR12905336,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370224,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562431,Acinetobacter baumannii,ACN-20190830-N22,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",PRJNA672293,266917175,2020-10-27T09:07:00Z,1,473,416548412,N22,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,wound,32.8872 N 13.1913 E,BPSH,infection,in-patient (ICU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12905337,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370223,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562435,Acinetobacter baumannii,ACN-20190830-N60,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",PRJNA672293,277592696,2020-10-27T09:07:00Z,1,441,462273912,N60,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,wound-Sputum,32.8872 N 13.1913 E,BPSH,infection,ICUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12905338,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370222,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562434,Acinetobacter baumannii,ACN-20190830-N54,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",PRJNA672293,291229353,2020-10-27T09:08:00Z,1,471,461713317,N54,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,blood,32.8872 N 13.1913 E,BPSH,bacterimia,ICUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12905339,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370221,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562433,Acinetobacter baumannii,ACN-20190830-N45,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",PRJNA672293,203421000,2020-10-27T09:07:00Z,1,428,336442347,N45,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,throat,32.8872 N 13.1913 E,TCM,infection,SCBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12905340,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370220,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562432,Acinetobacter baumannii,ACN-20190830-N33,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",PRJNA672293,100086760,2020-10-27T09:07:00Z,1,478,138413925,N33,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,wound,32.8872 N 13.1913 E,BPSH,infection,in-patient (ICU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12905341,WGS,AMERICAN UNIVERSITY OF BEIRUT,public,SRX9370219,Illumina MiSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2020-10-27T00:00:00Z,SRP288734,SAMN16562430,Acinetobacter baumannii,ACN-20190830-N27,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",PRJNA672293,326981758,2020-10-27T09:07:00Z,1,460,505168297,N27,2019,Libya,Africa,microbial,Pathogen.cl,Libya:Tripoli,Homo sapiens,wound,32.8872 N 13.1913 E,BPSH,infection,in-patient (ICU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14100602,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10472612,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266001,Acinetobacter baumannii,11,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",PRJNA690827,97654492,2021-03-30T04:47:00Z,1,506,156773535,M11,2020,Egypt,Africa,M11,Pathogen.cl,Egypt: Cairo,Homo sapiens,pleural,30.03 N 31.23 E,Hospital in Cairo,Pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14101519,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10473529,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266004,Acinetobacter baumannii,14,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",PRJNA690827,83213888,2021-03-30T05:19:00Z,1,531,132158779,M14,2020,Egypt,Africa,M14,Pathogen.cl,Egypt: Cairo,Homo sapiens,urine,30.03 N 31.23 E,Hospital in Cairo,FUO,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14101547,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10473557,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266002,Acinetobacter baumannii,12,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",PRJNA690827,101945457,2021-03-30T05:32:00Z,1,474,174090795,M12,2020,Egypt,Africa,M12,Pathogen.cl,Egypt: Cairo,Homo sapiens,Blood culture,30.03 N 31.23 E,Hospital in Cairo,FUO,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14101709,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10473719,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266003,Acinetobacter baumannii,13,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",PRJNA690827,67538422,2021-03-30T06:37:00Z,1,512,108163150,M13,2020,Egypt,Africa,M13,Pathogen.cl,Egypt: Cairo,Homo sapiens,wound,30.03 N 31.23 E,Hospital in Cairo,FUO,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14101949,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10473959,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266005,Acinetobacter baumannii,15,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",PRJNA690827,145043930,2021-03-30T08:26:00Z,1,422,265486547,M15,2020,Egypt,Africa,M15,Pathogen.cl,Egypt: Cairo,Homo sapiens,wound,30.03 N 31.23 E,Hospital in Cairo,Burn 7% face and neck,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14102219,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10474229,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266006,Acinetobacter baumannii,16,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",PRJNA690827,114500159,2021-03-30T08:31:00Z,1,528,176703686,M16,2020,Egypt,Africa,M16,Pathogen.cl,Egypt: Cairo,Homo sapiens,blood,30.03 N 31.23 E,Hospital in Cairo,Feverish 40,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14102306,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10474312,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266007,Acinetobacter baumannii,17,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",PRJNA690827,117059758,2021-03-30T08:55:00Z,1,456,193649853,M17,2020,Egypt,Africa,M17,Pathogen.cl,Egypt: Cairo,Homo sapiens,sputum,30.03 N 31.23 E,Hospital in Cairo,Stroke,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14102521,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10474527,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266008,Acinetobacter baumannii,18,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",PRJNA690827,156178802,2021-03-30T10:26:00Z,1,330,279727740,M18,2020,Egypt,Africa,M18,Pathogen.cl,Egypt: Cairo,Homo sapiens,blood,30.03 N 31.23 E,Hospital in Cairo,FUO,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14280111,WGS,UKZN,public,SRX10641228,NextSeq 500,PAIRED,RANDOM,GENOMIC,ILLUMINA,2021-05-14T00:00:00Z,SRP315515,SAMN18520915,Acinetobacter baumannii,ACINETOBACTER BAUMANNI,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",PRJNA718726,181587446,2021-04-20T09:54:00Z,1,302,554247312,FG116,2017-05,South Africa,Africa,FG116,Pathogen.env,South Africa,,hospital wastewater,missing,Eze Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospital wastewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13327178,WGS,CHILDREN'S CANCER HOSPITAL - EGYPT 57357 (CCHE57357),public,SRX9754319,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,ILLUMINA,2021-09-29T00:00:00Z,SRP299747,SAMN17182380,Acinetobacter baumannii,A1711,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",PRJNA688598,302218068,2020-12-30T02:42:00Z,1,446,442043857,A1711,2017-05-30,Egypt,Africa,,Pathogen.cl,Egypt:Cairo,Homo sapiens,BAL,30.0227294 N 31.237891 E,Children's Cancer Hospital - Egypt 57357,Cancer,Pediatric Cancer Patient,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,13 M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13327179,WGS,CHILDREN'S CANCER HOSPITAL - EGYPT 57357 (CCHE57357),public,SRX9754318,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,ILLUMINA,2021-09-29T00:00:00Z,SRP299747,SAMN17182379,Acinetobacter baumannii,A1710,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",PRJNA688598,387926755,2020-12-30T02:42:00Z,1,427,578696481,A1710,2017-05-30,Egypt,Africa,,Pathogen.cl,Egypt:Cairo,Homo sapiens,blood,30.0227294 N 31.237891 E,Children's Cancer Hospital - Egypt 57357,Cancer,Pediatric Cancer Patient,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,13 M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
